id,category,subCategory,detailCategory,tags
602,항해·해도·항로표지,항법,충돌예방항법,해상교통안전법|바람|충돌|우현|좌현
603,항해·해도·항로표지,등화,등화,선미|해상교통안전법|등화|현등|선미등|섬광등
604,법규·행정,항만·항로,항만·항로,통항분리|해상교통안전법상|해상교통안전법|수역
605,기관 및 정비,기관기초,기관기초,해상교통안전법|기관
606,법규·행정,항만·항로,항만·항로,해상교통안전법상|해상교통안전법|조종|항로표지
607,항해·해도·항로표지,항법,충돌예방항법,해상교통안전법|침로|항법|피항선|유지선|충돌
608,항해·해도·항로표지,항법,충돌예방항법,선미|마스트등|마주치는|앞지르기|해상교통안전법|등화
609,항해·해도·항로표지,등화,등화,해상교통안전법|등화
610,항해·해도·항로표지,등화,등화,해상교통안전법|등화|섬광등|전주등
611,항해·해도·항로표지,등화,등화,선미|마스트등|해상교통안전법|등화|현등|선미등
612,항해·해도·항로표지,등화,등화,해상교통안전법|등화|전주등
613,항해·해도·항로표지,등화,등화,해상교통안전법|등화|전주등|흘수
614,항해·해도·항로표지,등화,등화,선미|해상교통안전법|등화|현등|선미등|전주등
615,항해·해도·항로표지,등화,등화,선미|해상교통안전법|등화|전주등|정박
616,법규·행정,항만·항로,항만·항로,해상교통안전법상|해상교통안전법
617,법규·행정,항만·항로,항만·항로,해상교통안전법상|해상교통안전법|선박 통항|연료|윤활|윤활유
618,법규·행정,항만·항로,항만·항로,해상교통안전법상|해상교통안전법|화재|연료
619,법규·행정,항만·항로,항만·항로,해상교통안전법상|해상교통안전법|수역|허가|고장|기관이
620,법규·행정,보험·행정,보험·신고,해상교통안전법|해양경찰서장|시정|정박|항로|허가
621,법규·행정,보험·행정,보험·신고,해상교통안전법|해양경찰서장|신고
622,법규·행정,항만·항로,항만·항로,해상교통안전법|해양경찰서장|항법|항만법|항로|신고
623,법규·행정,항만·항로,항만·항로,사고 발생|해상교통안전법|상대선|신고
624,법규·행정,항만·항로,항만·항로,해상교통안전법상|해상교통안전법
625,법규·행정,항만·항로,항만·항로,해상교통안전법|항로를 점거|선박 통항|수역
626,법규·행정,항만·항로,항만·항로,해상교통안전법상|해상교통안전법
627,선박 조종술 및 운용,조종,조종술,해상교통안전법|해양경찰서장|조타|총톤수|운항
628,선박 조종술 및 운용,조종,조종술,해상교통안전법|조타|운항
629,법규·행정,항만·항로,항만·항로,해상교통안전법상|해상교통안전법|감속|속력
630,법규·행정,항만·항로,항만·항로,해상교통안전법|항법
631,법규·행정,항만·항로,항만·항로,통항분리|해상교통안전법상|해상교통안전법|횡단|입항|출항
632,항해·해도·항로표지,음향신호,음향신호,대수속력|음향신호|해상교통안전법|정지|기적|장음
633,항해·해도·항로표지,등화,등화,해상교통안전법|등화|섬광등
634,항해·해도·항로표지,음향신호,음향신호,주의환기신호|경고신호|조종신호|해상교통안전법|기적|사이렌
635,항해·해도·항로표지,등화,등화,해상교통안전법|등화|현등|우현|좌현
636,항해·해도·항로표지,음향신호,음향신호,음향신호|해상교통안전법|기적|단음|장음
637,항해·해도·항로표지,음향신호,음향신호,음향신호|해상교통안전법|장음
638,법규·행정,항만·항로,항만·항로,해상교통안전법|항만구역|운항|항만법
639,항해·해도·항로표지,음향신호,음향신호,음향신호|해상교통안전법|기적
640,항해·해도·항로표지,음향신호,음향신호,음향신호|해상교통안전법|기적
641,항해·해도·항로표지,음향신호,음향신호,경고신호|조종신호|해상교통안전법|기관|침로|기적
642,항해·해도·항로표지,음향신호,음향신호,경고신호|조종신호|앞지르기|해상교통안전법|단음|장음
643,법규·행정,항만·항로,항만·항로,해상교통안전법상|해상교통안전법
644,법규·행정,항만·항로,항만·항로,해상교통안전법|해양경찰서장|속력|항로
645,법규·행정,항만·항로,항만·항로,해상교통안전법|망|항로|폐기물
646,항해·해도·항로표지,항법,충돌예방항법,선수|통항분리|해상교통안전법|항법|유지선|횡단
647,항해·해도·항로표지,항법,충돌예방항법,해상교통안전법|기적|횡단|추월|키|수로
648,법규·행정,항만·항로,항만·항로,통항분리|해상교통안전법|출항|항로
649,항해·해도·항로표지,항법,충돌예방항법,선수|통항분리|해상교통안전법|횡단|항로
650,항해·해도·항로표지,항법,충돌예방항법,선수|마주치는|해상교통안전법|침로|항법|우현
651,항해·해도·항로표지,항법,충돌예방항법,선수|마주치는|해상교통안전법|현등|홍등|녹등
652,항해·해도·항로표지,항법,충돌예방항법,해상교통안전법|추월
653,항해·해도·항로표지,등화,등화,선미|마스트등|해상교통안전법|등화|정박등|현등
654,항해·해도·항로표지,항법,선박 사이 책무,진로우선권|선박사이책무|항법|흘수제약선|어로선|범선
655,항해·해도·항로표지,항법,충돌예방항법,선수|선미|해상교통안전법|등화
656,항해·해도·항로표지,등화,등화,선미|마스트등|해상교통안전법|등화|현등|선미등
657,법규·행정,항만·항로,항만·항로,마주치는|해상교통안전법상|해상교통안전법|우현|좌현|조종
658,항해·해도·항로표지,항법,충돌예방항법,해상교통안전법|횡단|우현|좌현|조종|변침
659,항해·해도·항로표지,등화,등화,해상교통안전법|등화|섬광등|전주등
660,항해·해도·항로표지,항법,충돌예방항법,선수|선미|해상교통안전법|현등|홍등|횡단
661,항해·해도·항로표지,음향신호,음향신호,음향신호|해상교통안전법|기적|단음|장음
662,항해·해도·항로표지,음향신호,음향신호,음향신호|해상교통안전법
663,항해·해도·항로표지,음향신호,음향신호,경고신호|조종신호|해상교통안전법|기관|기적|단음
664,항해·해도·항로표지,음향신호,음향신호,경고신호|조종신호|해상교통안전법|단음|장음|추월
665,항해·해도·항로표지,음향신호,음향신호,경고신호|조종신호|해상교통안전법|기적|단음|장음
666,항해·해도·항로표지,음향신호,음향신호,대수속력|음향신호|해상교통안전법|단음|장음|속력
667,항해·해도·항로표지,등화,등화,해상교통안전법|등화|전주등|조종
668,법규·행정,보험·행정,보험·신고,해상교통안전법|해양경찰청장|정지|허가
669,법규·행정,항만·항로,항만·항로,해상교통안전법상|해상교통안전법
670,기관 및 정비,연료계통,연료계통,해상교통안전법|연료|경유
671,항해·해도·항로표지,등화,등화,선수|선미|마스트등|해상교통안전법|등화|현등
672,법규·행정,항만·항로,항만·항로,해상교통안전법상|해상교통안전법|현등
673,법규·행정,항만·항로,항만·항로,해상교통안전법|조종|항로표지
674,법규·행정,항만·항로,항만·항로,해상교통안전법상|해상교통안전법|시정|변침|항법|우현
675,법규·행정,항만·항로,항만·항로,해상교통안전법|해양경찰서장|항법|운항|항만법|항로
676,법규·행정,해양환경법규,해양환경관리,해양환경|해양환경관리법|항법|항만법
677,법규·행정,해양환경법규,해양환경관리,해양환경|해양환경관리법|오염물질|오염|폐기물|배출
678,법규·행정,해양환경법규,해양환경관리,오염|배출
679,법규·행정,해양환경법규,해양환경관리,해양환경|항만구역|해양환경관리법|오염물질|항만법|오염
680,법규·행정,해양환경법규,해양환경관리,해양환경|해양환경관리법|해양오염|해양경찰서장|해양경찰청장|오염
681,법규·행정,벌칙·행정처분,벌칙·과태료,해양환경|해양환경관리법|벌칙|벌금|징역|배출
682,법규·행정,해양환경법규,해양환경관리,해양환경|해양환경관리법|오염물질|해양오염|해면|오염
683,법규·행정,해양환경법규,해양환경관리,해양환경|해양환경관리법|오염물질|오염|폐기물
684,법규·행정,해양환경법규,해양환경관리,해양환경|모터보트|해양환경관리법|폐유|속력|노트
685,법규·행정,해양환경법규,해양환경관리,해양환경|해양환경관리법|오염물질|오염
686,법규·행정,해양환경법규,해양환경관리법 용어 정의,해양환경관리법|기름정의|석유제품|유성혼합물|폐유
687,법규·행정,해양환경법규,해양환경관리,해양환경|해양환경관리법|오염물질|총톤수|등록|오염
688,법규·행정,해양환경법규,해양환경관리,폐유저장용기|폐유|총톤수|오염
689,법규·행정,해양환경법규,해양환경관리,오염|배출
690,법규·행정,해양환경법규,해양환경관리,오염물질|폐기물기록부|오염|폐기물|배출
691,법규·행정,해양환경법규,해양환경관리,폐유저장용기|폐유|총톤수|오염
692,법규·행정,해양환경법규,해양환경관리,해양환경|검사증서|해양환경관리법|기름기록부|선저|총톤수
693,법규·행정,해양환경법규,해양환경관리,해양환경|해양환경관리법|오염물질|기름기록부|폐기물기록부|보관
694,법규·행정,해양환경법규,해양환경관리,해양환경|해양환경관리법|오염물질|해양오염|해면|오염
695,법규·행정,해양환경법규,해양환경관리,해양환경|해양환경관리법|해양오염|기관|오염
696,법규·행정,해양환경법규,해양환경관리,해양환경|해양환경관리법|오염물질|해양오염|오염
697,법규·행정,해양환경법규,해양환경관리,해양환경|해양환경관리법|수역
698,법규·행정,해양환경법규,해양환경관리,해양환경|해양환경관리법|오염물질|오염|폐기물|배출
699,법규·행정,해양환경법규,해양환경관리,해양환경|해양환경관리법|해양오염|기관|오염|방제
700,법규·행정,벌칙·행정처분,벌칙·과태료,조난통신|무선설비|적합성평가|조난|정지|벌칙
