id,category,subCategory,detailCategory,tags
204,항해·기상,항해,항로표지,IALA부표식
205,항해·기상,항해,위치선·방위,편차·자차
206,선박운용,선박특성,구조 및 치수,트림
207,기관,운전정비,시동 및 운전,멀티테스터
208,항해·기상,항해,항해계기,자기컴퍼스
209,선박운용,조종술,이접안·계류,현측접안
210,선박운용,조종술,이접안·계류,현측접안
211,선박운용,조종술,특수수역조종,천수효과(스쿼트)
212,선박운용,조종술,이접안·계류,계선줄
213,항해·기상,항해,항로표지,측방·방위표지
214,항해·기상,항해,항해계기,레이더플로팅
215,선박운용,조종술,악천후항법,브로칭
216,선박운용,조종술,특수수역조종,좁은수로조종
217,항해·기상,기상·해양,기압과바람,해륙풍(해풍/육풍)
218,항해·기상,항해,해도와수로지,등심선·등고선
219,선박운용,조종술,특수수역조종,좁은수로조종
220,선박운용,조종술,이접안·계류,흡인·배척작용
221,선박운용,조종술,추진과선회,배출류·흡입류
222,항해·기상,항해,항해계기,레이더플로팅
223,안전·응급처치,사고대처,비상대처,선박충돌대처
224,안전·응급처치,구명설비,조난신호,EPIRB
225,선박운용,선박특성,구조 및 치수,흘수·건현
226,법규,해양환경·전파법,무선통신,조난통신방해(전파법)
227,법규,해양환경·전파법,무선통신,조난통신방해(전파법)
228,안전·응급처치,사고대처,비상대처,침수·좌초(임의좌주)
229,법규,해상교통안전법,특수수역항법,제한된시계항법
230,항해·기상,항해,위치선·방위,상대방위
231,법규,수상레저안전법,운항규칙,야간운항제한
232,선박운용,조종술,추진과선회,킥(Kick)
233,선박운용,조종술,이접안·계류,현측접안
234,선박운용,조종술,추진과선회,횡거·종거
235,항해·기상,항해,항해계기,GPS·DGPS오차
236,선박운용,선박특성,구조 및 치수,전폭·전장
237,항해·기상,항해,위치선·방위,교차방위법
238,법규,해상교통안전법,특수수역항법,제한된시계항법
239,항해·기상,항해,위치선·방위,상대방위
240,항해·기상,항해,위치선·방위,상대방위
241,선박운용,선박특성,구조 및 치수,트림
242,항해·기상,항해,해도와수로지,항행통보·항로지
243,항해·기상,항해,항해계기,레이더플로팅
244,법규,해양환경·전파법,무선통신,조난통신방해(전파법)
245,항해·기상,항해,항해계기,GPS·DGPS오차
246,선박운용,선박특성,복원성 및 저항,마찰저항
247,선박운용,조종술,이접안·계류,현측접안
248,선박운용,조종술,특수수역조종,좁은수로조종
249,선박운용,조종술,특수수역조종,좁은수로조종
