sheet,row,scientificName,koreanName,detailGroup
무척추동물,5051,Paracanthonchus spongius,,선형동물
무척추동물,5055,Ptycholaimellus ocellatus,,선형동물
무척추동물,5056,Parapinnanema imbricatum,,선형동물
무척추동물,5057,Actinonema pachydermatum,,선형동물
무척추동물,5059,Spirinia koreana,,선형동물
무척추동물,5060,Onyx disparamphis,,선형동물
무척추동물,5061,Pseudochromadora typica,,선형동물
무척추동물,5062,Pseudochromadora microacantha,,선형동물
무척추동물,5063,Dracognomus elongatus,,선형동물
무척추동물,5097,Jejulaimus sinyangensis,,선형동물
무척추동물,5098,Parodontophora marina,,선형동물
무척추동물,5099,Parodontophora huoshanensis,,선형동물
무척추동물,5100,Dorylaimopsis variabilis,,선형동물
무척추동물,5101,Vasostoma brevispicula,,선형동물
무척추동물,5102,Setosabatieria hilarula,,선형동물
무척추동물,5110,Oncholaimus qingdaoensis,,선형동물
무척추동물,5111,Admirandus multicavus,,선형동물
무척추동물,5112,Pheronous donghaiensis,,선형동물
무척추동물,5113,Belbolla zhangi,,선형동물
무척추동물,5114,Belbolla hoonsooi,,선형동물
무척추동물,5115,Paranticoma tricerviseta,,선형동물
무척추동물,5117,Tricoma (Quadricoma) jejuensis,,선형동물
무척추동물,5118,Tricoma (Quadricoma) unipapillata,,선형동물
무척추동물,5119,Tricoma (Tricoma) similis,,선형동물
무척추동물,5120,Tricoma (Tricoma) breviseta,,선형동물
무척추동물,5121,Tricoma (Tricoma) donghaensis,,선형동물
무척추동물,5122,Tricoma (Tricoma) longicauda,,선형동물
무척추동물,5123,Tricoma (Tricoma) ulleungensis,,선형동물
무척추동물,5124,Tricoma (Tricoma) polyringulata,,선형동물
무척추동물,5125,Tricoma (Tricoma) fortiseta,,선형동물
무척추동물,5126,Tricoma (Tricoma) paralucida,,선형동물
무척추동물,5127,Tricoma (Tricoma) uljinensis,,선형동물
무척추동물,5131,Desmoscolex (Desmoscolex) max,,선형동물
무척추동물,5132,Desmoscolex (Desmoscolex) longispiculatus,,선형동물
무척추동물,5133,Desmoscolex (Desmoscolex) ovaliceps,,선형동물
무척추동물,5134,Desmoscolex (Desmoscolex) lanceosetatus,,선형동물
무척추동물,5135,Desmoscolex (Desmoscolex) obtusiseta,,선형동물
무척추동물,5136,Desmoscolex (Desmoscolex) delticeps,,선형동물
무척추동물,5177,Chondrosia reniformis,,해면동물
무척추동물,5282,Haliclona cylindria,,해면동물
무척추동물,5554,Clathrina mutsu,,해면동물
무척추동물,5796,Alcyonidium busanensis,,태형동물
무척추동물,5797,Alcyonidium bullitum,,태형동물
