일련번호,최대승객수,최대선원수,출입항명,낚시어선영업구역명,낚시어선영업장소명,영업장소특수주소
19045,15,1,신진도항,충청남도  연안일원,충청남도 태안군 근흥면 신진도리 신진도항,신진도항
19046,11,1,통개항,충청남도  연안일원,충청남도 태안군 소원면 파도리 통개항,통개항
19047,6,1,만리포항,충청남도  연안일원,충청남도 태안군 소원면 모항리 만리포항,만리포항
19048,0,0,,,,
19049,14,1,연포항,충청남도  연안일원,충청남도 태안군 근흥면 도황리,
19050,13,1,연포항,충청남도  연안일원,충청남도 태안군 근흥면 도황리,
19051,15,1,신진도항,충청남도  연안일원,충청남도 태안군 근흥면 신진도리 신진도항,신진도항
19052,11,1,당암항,충청남도  연안일원,충청남도 태안군 남면 당암리 당암항,당암항
19053,15,1,안흥항,충청남도  연안일원,충청남도 태안군 근흥면 정죽5리,
19054,11,1,학암포항,충청남도  연안일원,충청남도 태안군 원북면 방갈리 학암포항,학암포항
19055,4,1,청곡항,경상남도  연안일원,경상남도 거제시 사등면 청곡리 청곡항,
19056,0,0,,,,
19057,7,1,도장포항,경상남도  연안일원,경상남도 거제시 남부면 갈곶리 도장포항,
19058,17,1,대포근포항(대포항),경상남도  연안일원,경상남도 거제시 남부면 저구리 대포근포항(대포항),
19059,11,1,다대다포항(다포항),경상남도  연안일원,경상남도 거제시 남부면 다포리 다대다포항(다포항),
19060,11,1,장승포항,경상남도  연안일원,경상남도 거제시 장승포동 장승포항,
19061,5,1,남부면 명사항,경상남도  연안일원,경상남도 거제시 남부면 명사항,명사항
19062,4,1,사등면 견내량항,경상남도  연안일원,경상남도 거제시 사등면 견내량항,견내량항
19063,11,1,옥포동 옥포항,경상남도  연안일원,경상남도 거제시 옥포동 옥포항,옥포항
19064,5,1,남부면 도장포항,경상남도  연안일원,경상남도 거제시 남부면 도장포항,도장포항
19065,11,1,남부면 다대·다포항,경상남도  연안일원,경상남도 거제시 남부면 다대·다포항,다대·다포항
19066,3,1,동부면 학동항,경상남도  연안일원,경상남도 거제시 동부면 학동리 학동항,학동항
19067,6,1,장승포동 장승포항,경상남도  연안일원,경상남도 거제시 장승포동 장승포항,장승포항
19068,16,1,남부면 갈곶항,경상남도  연안일원,경상남도 거제시 남부면 갈곶리 갈곶항,갈곶항
19069,14,1,남부면 대포근포항,경상남도  연안일원,경상남도 거제시 남부면 대포근포항,대포근포항
19070,4,1,일운면 내도항,경상남도  연안일원,경상남도 거제시 일운면 와현리 내도항,내도항
