공간정보일련번호,공간정보,포인트명1,포인트명2,수심범위내용,주원료내용,조수물때내용,낚시방법대상내용,선상낚시포인트도분초위도,선상낚시포인트도분초경도,고시내용,행정구역명
170,POINT (877734.1864191231 1582103.71844975),독거군도 부근,제주섬해상,27.5~29m,암,1물~4물,▶ 참돔  -  부력/ 잠수▶ 감성돔  -  릴찌/ 장대/ 원투▶ 돌돔  -  릴찌/ 장대/ 원투▶ 광어 - 릴찌/ 원투▶ 농어  -  루어/ 릴찌,34-13-30.586N,126-10-21.218E,,전라남도 진도군
171,POINT (966948.313222768 1578952.24291462),황제도,대마도해상,23~27m,암,조금 전후/ 2~3물,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 농어  -  루어/ 릴찌▶ 광어  -  릴찌/ 원투▶ 볼락  -  릴찌/ 장대/ 루어,34-12-12.245N,127-08-28.461E,,전라남도 완도군
172,POINT (788868.497148567 1633369.00611774),홍도,방구서부근,3.5~4.7m,암,조금 전후,▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 감성돔  -  릴찌/ 장대/ 원투▶ 우럭  -  릴찌/ 원투▶ 농어  -  루어/ 릴찌,34-40-22.375N,125-11-44.257E,,전라남도 신안군
173,POINT (787057.364217521 1633392.82752902),홍도,상연서부근,23.5~33m,암,조금 전후,▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 감성돔  -  릴찌/ 장대/ 원투▶ 우럭  -  릴찌/ 원투▶ 농어  -  루어/ 릴찌,34-40-21.797N,125-10-33.124E,,전라남도 신안군
174,POINT (788364.412777785 1635841.2227544),홍도,거북바위인근,28~31m,암,조금 전후,▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 감성돔  -  릴찌/ 장대/ 원투▶ 우럭  -  릴찌/ 원투▶ 농어  -  루어/ 릴찌,34-41-42.194N,125-11-22.236E,,전라남도 신안군
175,POINT (790122.6561791541 1634408.58712965),홍도,흥어굴인근,5.5~9.4m,펄/모래/조개껍질,조금 전후,▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 감성돔  -  릴찌/ 장대/ 원투▶ 우럭  -  릴찌/ 원투▶ 농어  -  루어/ 릴찌,34-40-57.026N,125-12-32.571E,,전라남도 신안군
176,POINT (813560.992281651 1582793.68306154),만재도,백서남측선상,37~44m,암,조금 전후,▶ 돌돔 - 릴찌/ 장대/ 원투▶ 참돔 - 부력/ 잠수▶ 감성돔 - 릴찌/ 장대/ 원투▶ 우럭 - 릴찌/ 원투▶ 광어 - 릴찌/ 원투▶ 농어 - 루어/ 릴찌▶ 볼락 - 릴찌/ 장대/ 루어▶ 문어 - 루어,34-13-18.710N,125-28-33.601E,,전라남도 신안군
177,POINT (856676.396621219 1584742.54016087),거차수도 부근,동거차선착장해상,12.6~19.5m,암,1물~4물,▶ 참돔  -  부력/ 잠수▶ 감성돔  -  릴찌/ 장대/ 원투▶ 돌돔  -  릴찌/ 장대/ 원투▶ 우럭  -  릴찌/ 원투▶ 농어  -  루어/ 릴찌▶ 부시리  -  부력/ 잠수/ 지깅,34-14-46.554N,125-56-36.842E,,전라남도 진도군
178,POINT (879288.1619252521 1584912.82144956),독거군도 부근,독거동쪽선창해상,27~29m,펄,1물~4물,▶ 참돔  -  부력/ 잠수▶ 감성돔  -  릴찌/ 장대/ 원투▶ 돌돔  -  릴찌/ 장대/ 원투▶ 광어 - 릴찌/ 원투▶ 농어  -  루어/ 릴찌,34-15-02.418N,126-11-20.528E,,전라남도 진도군
179,POINT (892018.3256602591 1558859.40348236),추자군도,횡간도북측해상,40~46m,암,조금 전후/ 1~4물,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 벵에돔 - 목줄/ 장대/ 부력/ 잠수▶ 참돔  -  부력/ 잠수▶ 돌돔 - 민장대/ 릴찌/ 원투▶ 볼락 - 릴찌/ 장대/ 루어▶ 부시리 - 부력/ 잠수/ 지깅,34-01-01.750N,126-19-49.809E,,제주특별자치도 제주시
180,POINT (894227.203580235 1557812.88712327),추자군도,곽도앞해상,7.6~16.1m,암,조금 전후/ 1~4물,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 벵에돔 - 목줄/ 장대/ 부력/ 잠수▶ 참돔  -  부력/ 잠수▶ 돌돔 - 민장대/ 릴찌/ 원투▶ 볼락 - 릴찌/ 장대/ 루어▶ 부시리 - 부력/ 잠수/ 지깅,34-00-28.589N,126-21-16.374E,,제주특별자치도 제주시
181,POINT (894794.113472087 1551862.49682264),추자군도,하추자도동측해상,29~32m,모래/ 조개껍질,조금 전후/ 1~4물,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 벵에돔 - 목줄/ 장대/ 부력/ 잠수▶ 참돔  -  부력/ 잠수▶ 돌돔 - 민장대/ 릴찌/ 원투▶ 볼락 - 릴찌/ 장대/ 루어▶ 부시리 - 부력/ 잠수/ 지깅,33-57-15.634N,126-21-41.048E,,제주특별자치도 제주시
182,POINT (890082.131689315 1552373.93502163),추자군도,추자교앞해상,12.1~14.6m,모래/ 펄,조금 전후/ 1~4물,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 벵에돔 - 목줄/ 장대/ 부력/ 잠수▶ 참돔  -  부력/ 잠수▶ 돌돔 - 민장대/ 릴찌/ 원투▶ 볼락 - 릴찌/ 장대/ 루어▶ 부시리 - 부력/ 잠수/ 지깅,33-57-30.500N,126-18-37.266E,,제주특별자치도 제주시
183,POINT (885207.461815945 1554281.60646707),추자군도,상추자도와직구도사이,43~45m,모래/ 펄,조금 전후/ 1~4물,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 벵에돔 - 목줄/ 장대/ 부력/ 잠수▶ 참돔  -  부력/ 잠수▶ 돌돔 - 민장대/ 릴찌/ 원투▶ 볼락 - 릴찌/ 장대/ 루어▶ 부시리 - 부력/ 잠수/ 지깅,33-58-30.548N,126-15-26.472E,,제주특별자치도 제주시
184,POINT (1008580.80563606 1622351.54811909),낭도 부근,상화도서측해상,8.5~29m,암,13물~5물/ 조금 전후,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 붕장어  -  원투▶ 농어  -  루어/ 릴찌▶ 숭어  -  릴찌/ 장대/ 훌치기,34-35-43.006N,127-35-36.874E,,전라남도 고흥군
185,POINT (971500.82538629 1580176.22823016),황제도,원도해상,28.5~41m,펄,조금 전후/ 2~3물,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 농어  -  루어/ 릴찌▶ 광어  -  릴찌/ 원투▶ 볼락  -  릴찌/ 장대/ 루어,34-12-52.468N,127-11-26.209E,,전라남도 완도군
186,POINT (986826.378018578 1588622.44187185),손죽열도 부근,손죽방파제해상,2.8~6.3m,펄,중들물~만조/ 사리를 피한 물때,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 우럭  -  릴찌/ 원투▶ 노래미  -  루어/ 릴찌/ 장대/ 원투▶ 농어  -  루어/ 릴찌▶ 숭어  -  릴찌/ 장대/ 훌치기▶ 삼치  -  루어/ 릴찌▶ 문어  -  루어,34-17-27.793N,127-21-24.688E,,전라남도 여수시
187,POINT (991380.5223123251 1587676.57167932),손죽열도 부근,소거문도동쪽해상,19.5~20.3m,펄,중들물~만조/ 사리를 피한 물때,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 우럭  -  릴찌/ 원투▶ 노래미  -  루어/ 릴찌/ 장대/ 원투▶ 농어  -  루어/ 릴찌▶ 숭어  -  릴찌/ 장대/ 훌치기▶ 삼치  -  루어/ 릴찌▶ 문어  -  루어,34-16-57.256N,127-24-22.866E,,전라남도 여수시
188,POINT (1003099.88016128 1583982.19634949),간수제도,대두역서해상,29~31m,펄,사리를 피한 조금 이후,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 우럭  -  릴찌/ 원투▶ 노래미  -  루어/ 릴찌/ 장대/ 원투▶ 농어  -  루어/ 릴찌▶ 숭어  -  릴찌/ 장대/ 훌치기▶ 삼치  -  루어/ 릴찌▶ 문어  -  루어,34-14-57.424N,127-32-01.198E,,전라남도 여수시
189,POINT (1028353.25787035 1604034.57978895),연도,동부앞인근해상,9.7~28m,암,초들물/ 초날물/ 조금 전·후,▶ 참돔  -  부력/ 잠수▶ 감성돔  -  릴찌/ 장대/ 원투▶ 볼락  -  릴찌/ 장대/ 루어▶ 농어/  삼치  -  루어/ 릴찌▶ 돌돔  -  민장대/ 릴찌/ 원투▶ 갑오징어  -  에깅,34-25-47.066N,127-48-30.920E,,전라남도 여수시
190,POINT (1028214.17378641 1601620.69740047),연도,소룡단인근해상,34~47m,암,초들물/ 초날물/ 조금 전·후,▶ 참돔  -  부력/ 잠수▶ 감성돔  -  릴찌/ 장대/ 원투▶ 볼락  -  릴찌/ 장대/ 루어▶ 농어/  삼치  -  루어/ 릴찌▶ 돌돔  -  민장대/ 릴찌/ 원투▶ 갑오징어  -  에깅,34-24-28.712N,127-48-25.184E,,전라남도 여수시
191,POINT (1071725.55814079 1655123.28704541),자란만 부근,두도해상,7.5~7.6m,암,조금 전후,▶ 갑오징어  -  에깅▶ 감성돔  -  릴찌/ 장대/ 원투▶ 노래미  -  루어/ 릴찌/ 장대/ 원투▶ 벵에돔  -  목줄/ 장대/ 부력/ 잠수▶ 참돔  -  부력/ 잠수▶ 볼락  -  릴찌/ 장대/ 루어▶ 농어  -  루어/ 릴찌▶ 붕장어  -  원투▶ 우럭  -  릴찌/ 원투,34-53-17.919N,128-17-05.804E,,경상남도 고성군
192,POINT (1079094.96344051 1631021.38621511),연화도 부근,우서부근해상,5.6~6.0m,암,초들물/ 초날물/ 5물~6물/ 조금,▶ 참돔 - 부력/ 잠수▶ 감성돔 - 릴찌/ 장대/ 원투▶ 볼락 - 릴찌/ 장대/ 루어▶ 벵에돔 - 목줄/ 장대/ 부력/ 잠수▶ 농어 - 루어/ 릴찌,34-40-13.594N,128-21-47.951E,,경상남도 통영시
235,POINT (858633.432713922 1648842.91118691),비금도·도초도,토막도부근,12m~18m,펄,날물,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶돌돔 - 릴찌/ 장대/ 원투 ▶볼락 - 루어/ 릴찌/ 장대▶붕장어 - 원투 ▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수,34-49-27.8N,125-57-15.0E,,전라남도 신안군
194,POINT (891879.301272792 1763067.2127109),말도·방축도,말도서쪽바다,8.6m~30m,모래/ 조개껍질,들물/ 썰물 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶도다리 - 원투 ▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수,35-51-29.5N,126-18-09.1E,방축도 선착장 외에 갯바위 포인트와 말도 등대 부근/ 말도 북동쪽 곶부리 진입이 어렵고 갯바위가 협소하므로 초보자는 안전에 주의해야한다.,전라북도 군산시
195,POINT (904547.759677699 1756151.35118103),선유도·무녀도·장자도·신시도,만서/만자서부근,9m~12m,모래/ 펄,조금 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶붕장어 - 원투▶삼치 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투 ▶양태 - 루어/ 릴찌,35-47-49.8N,126-26-37.1E,,전라북도 군산시
196,POINT (859675.960470618 1629703.59199305),비금도·도초도,가도부근,14m~19m,펄,초들물~중들물,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶돌돔 - 릴찌/ 장대/ 원투 ▶볼락 - 루어/ 릴찌/ 장대▶붕장어 - 원투 ▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수,34-39-07.2N,125-58-07.5E,,전라남도 신안군
197,POINT (922415.647107388 1580827.33242778),노화도·보길도·소안도,각씨여부근,38m~42m,펄/ 조개껍질,사리 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶우럭 - 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-13-04.6N,126-39-27.8E,,전라남도 완도군
198,POINT (949786.751129659 1576904.70086238),청산도·대모도,항도서측바다,24m~27m,펄/ 모래,4물~사리,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶돌돔 - 릴찌/ 장대/ 원투 ▶볼락 - 루어/ 릴찌/ 장대▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수,34-11-03.3N,126-57-18.3E,,전라남도 완도군
199,POINT (1084170.99061273 1640804.58022552),미륵도,학림도부근,23m~30m,펄,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶우럭 - 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-45-29.7N,128-25-10.9E,,경상남도 통영시
200,POINT (1047815.14207504 1649098.19250239),남해도 동부·신수도·창선도,증초부근해상,0.2~3.1,암,초들물~중날물,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투,34-50-07.4N,128-01-22.6E,,경상남도 남해군
201,POINT (1104445.54052467 1665121.2879462),칠천도·가조도,장안서부근해상,2.7~13.9,펄/ 조개껍질,초들물~중날물,▶감성돔 - 릴찌/ 장대/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶갑오징어 - 에깅▶도다리 - 원투▶볼락 - 릴찌/ 장대/ 루어,34-58-32.2N,128-38-39.2E,,경상남도 거제시
202,POINT (908268.4267281811 1470721.44538606),제주도 남부,호도(범섬)부근해상,32.0~38.0,암,초들물~중날물,▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶한치 - 루어/ 원투▶노래미 - 루어/ 릴찌/ 장대/ 원투▶독가시치 - 목줄/ 장대/ 부력/ 잠수▶부시리 - 부력/ 잠수/ 지깅▶우럭 - 릴찌/ 원투,33-13-25.9N,126-30-56.0E,,제주특별자치도 서귀포시
203,POINT (760467.744864841 1978773.16945272),대청도·소청도,곽암부근,23m~29m,자갈/ 조개껍질,조금 전후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶삼치 - 루어/ 릴찌▶쏨뱅이 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투,37-46-38.2N,124-46-48.8E,,인천광역시 옹진군
204,POINT (915130.97760609 1894943.67410782),입파도·국화도,국화도등표부근,24m~28m,펄,조금 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶도다리 - 원투 ▶붕장어 - 원투▶우럭 - 릴찌/ 원투,37-02-57.2N,126-32-44.0E,,경기도 화성시
205,POINT (900318.73660176 1816495.12906469),원산도·삽시도,납작도부근,6.3m~8.3m,펄/ 모래,들물 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶갑오징어 - 에깅▶넙치 - 루어/ 원투 ▶농어 - 루어/ 릴찌▶우럭 - 릴찌/ 원투 ▶주꾸미 - 루어,36-20-26.5N,126-23-21.2E,,충청남도 보령시
206,POINT (862597.72159874 1793878.7711765),어청도·연도,어청도등대북쪽부근,44m~50m,펄,들물/ 날물,▶농어 - 루어/ 릴찌 ▶노래미 - 장대/ 루어/ 릴찌/ 원투▶돌돔 - 릴찌/ 장대/ 원투 ▶우럭 - 릴찌/ 원투,36-07-56.0N,125-58-22.7E,어청도/ 연도는 산세가 평탄하여 모든 갯바위 포인트는 초보자도 진입이 편하다.,전라북도 군산시
207,POINT (884419.1470349471 1779146.48139856),십이동파도·비안도,십이동파도북도북서측바다,51m~53m,펄/ 모래,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶갑오징어 - 에깅▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수,36-00-08.2N,126-13-03.3E,비안도의 방파제 포인트를 제외한 갯바위 포인트와 십이동파도 갯바위 포인트는 보팅 및 낚싯배로 진입을 해야하고 직벽지역과 협소한 곳이 많아 구명조끼/ 안전화 등 보호 장비를 단단히 착용해야만 한다.,전라북도 군산시
208,POINT (933956.52809551 1587050.5745547),신지도,완도대구두앞바다,24.5m~26m,모래/ 조개껍질,사리 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶돌돔 - 릴찌/ 장대/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶붕장어 - 원투▶우럭 - 릴찌/ 원투 ▶참돔 - 부력/ 잠수 ▶학공치 - 릴찌/ 장대,34-16-29.5N,126-46-57.1E,덕구미 부근/ 동고리 남쪽 갯바위/ 무생끝 부근/ 도트럼끝 부근/ 무인등대 부근/ 노랑바위 부근 포인트의 갯바위는 경사가 가파르고 낚시자리가 좁아 안전에 주의해야 하고 보팅 및 낚싯배로 진입이 가능하다.,전라남도 완도군
209,POINT (1073214.73748892 1626158.10512055),욕지도,초도부근,18m~20m,펄/ 조개껍질,5 물~11물,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶무늬오징어 - 릴찌/ 에깅 ▶볼락 - 루어/ 릴찌/ 장대▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶참돔 - 부력/ 잠수,34-37-37.3N,128-17-55.4E,,경상남도 통영시
210,POINT (893292.5167871721 1658190.42269912),압해도,대교동측해상,2.1~4.3,펄,초들물~중날물,▶감성돔 - 릴찌/ 장대/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶볼락 - 릴찌/ 장대/ 루어 ▶붕장어 - 원투 ▶우럭 - 릴찌/ 원투,34-54-46.4N,126-19-54.8E,,전라남도 신안군
211,POINT (929238.124304583 1475286.45757609),제주도 남동부,태흥리포구앞해상,21.7~28.5,고운모래,들물/날물,▶참돔 - 부력/ 잠수▶돌돔 - 민장대/ 릴찌/ 원투▶다금바리 - 원투▶벵에돔 - 목줄/ 장대/ 부력/ 잠수▶부시리 - 부력/ 잠수/ 지깅,33-15-59.8N,126-44-24.8E,,제주특별자치도 서귀포시
212,POINT (1088311.16596015 1676256.52061294),당항포 부근,동진교해상,7~15.8m,모래,조금전후,▶ 도다리 - 원투▶ 노래미 - 루어/ 릴찌/ 장대/ 원투▶ 볼락 - 릴찌/ 장대/ 루어▶ 감성돔 - 릴찌/ 장대/ 원투▶ 갑오징어 - 에깅,35-04-39.16N,128-28-07.23E,,경상남도 고성군
213,POINT (894806.598401514 1919617.22315529),자월도,입암두앞바다,8m~10m,모래,들물/ 날물,▶농어 - 루어/ 릴찌 ▶우럭 - 릴찌/ 원투,37-16-10.3N,126-18-48.8E,,인천광역시 옹진군
214,POINT (863849.96601813 1896461.67916264),백아도·굴업도,백아도광대도부근,3.8m~5.2m,모래/ 펄,1~3물/ 조금 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶농어 - 루어/ 릴찌 ▶붕장어 - 원투▶우럭 - 릴찌/ 원투,37-03-24.7N,125-58-07.4E,,인천광역시 옹진군
215,POINT (901135.9552234961 1966863.08592408),석모도,외포리선착장입표부근해상,10.0~20.0,펄/ 모래,초들물~중날물,▶농어 - 루어/ 릴찌▶숭어 - 릴찌/ 장대/ 홀치기▶우럭 - 릴찌/ 원투▶망둥어 - 릴찌/ 장대,37-41-45.6N,126-22-42.9E,,인천광역시 강화군
216,POINT (1026802.60090189 1632545.05823725),돌산도,죽도부근해상,4.5~10.7,펄,초들물~중날물,▶참돔 - 부력/ 잠수▶농어 - 루어/ 릴찌▶노래미 - 루어/ 릴찌/ 장대/ 원투▶볼락 - 릴찌/ 장대/ 루어▶우럭 - 릴찌/ 원투▶붕장어 - 원투,34-41-12.8N,127-47-33.4E,,전라남도 여수시
217,POINT (814497.559463653 1581831.66494097),만재도,만재도북동측선상,28~37m,암,조금 전후,▶ 돌돔 - 릴찌/ 장대/ 원투▶ 참돔 - 부력/ 잠수▶ 감성돔 - 릴찌/ 장대/ 원투▶ 우럭 - 릴찌/ 원투▶ 광어 - 릴찌/ 원투▶ 농어 - 루어/ 릴찌▶ 볼락 - 릴찌/ 장대/ 루어▶ 문어 - 루어,34-12-48.098N,125-29-10.927E,,전라남도 신안군
218,POINT (1003477.05216319 1625290.08013767),낭도 부근,하과도남측해상,6.3~6.8m,암,5물~8물/ 조금 전후,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 붕장어  -  원투▶ 농어  -  루어/ 릴찌▶ 숭어  -  릴찌/ 장대/ 훌치기,34-37-18.513N,127-32-16.549E,,전라남도 고흥군
219,POINT (990581.0645656991 1589580.44135381),손죽열도 부근,소거문도북쪽해상,9.9~20.6m,암,중들물~만조/ 사리를 피한 물때,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 우럭  -  릴찌/ 원투▶ 노래미  -  루어/ 릴찌/ 장대/ 원투▶ 농어  -  루어/ 릴찌▶ 숭어  -  릴찌/ 장대/ 훌치기▶ 삼치  -  루어/ 릴찌▶ 문어  -  루어,34-17-59.043N,127-23-51.522E,,전라남도 여수시
220,POINT (1077942.18712357 1629046.26512917),연화도 부근,연화항부근해상,4.4~9.7m,암,초들물/ 초날물/ 5물~6물/ 조금,▶ 참돔 - 부력/ 잠수▶ 감성돔 - 릴찌/ 장대/ 원투▶ 볼락 - 릴찌/ 장대/ 루어▶ 벵에돔 - 목줄/ 장대/ 부력/ 잠수▶ 농어 - 루어/ 릴찌,34-39-09.798N,128-21-02.003E,,경상남도 통영시
221,POINT (1115381.43467422 1657470.01238899),거제도 북동부,양지암취앞바다,23m~27m,펄,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶우럭 - 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-54-19.6N,128-45-46.6E,,경상남도 거제시
222,POINT (913591.3148204951 1903083.33817695),입파도·국화도,입파도학산서부근,15m~18m,펄/ 모래,조금 전·후,▶넙치 - 루어/ 원투 ▶노래미 - 루어/ 릴찌/ 장대/ 원투▶도다리 - 원투 ▶붕장어 - 원투▶우럭 - 릴찌/ 원투,37-07-20.8N,126-31-38.3E,입파도 해안선 포인트 및 국화도 매박섬(토끼섬)/ 국화도 도지섬 부근/ 국화도 서쪽 곶부리 포인트는 진입이 어렵고 갯바위가 협소하므로 초보자는 안전에 주의해야 한다.,경기도 화성시
223,POINT (1078962.0283553 1643986.9404155),미륵도,곤리도부근,14m~16m,펄,조금 전·후,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶벵에돔 - 목줄/ 장대/ 부력/ 잠수 ▶우럭 - 릴찌/ 원투▶볼락 - 루어/ 릴찌/ 장대 ▶참돔 - 부력/ 잠수,34-47-14.5N,128-21-47.1E,,경상남도 통영시
224,POINT (889729.862503682 1553622.68211713),추자군도,추자항북측해상,22.5~28m,암,조금 전후/ 1~4물,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 벵에돔 - 목줄/ 장대/ 부력/ 잠수▶ 참돔  -  부력/ 잠수▶ 돌돔 - 민장대/ 릴찌/ 원투▶ 볼락 - 릴찌/ 장대/ 루어▶ 부시리 - 부력/ 잠수/ 지깅,33-58-10.903N,126-18-22.977E,,제주특별자치도 제주시
225,POINT (1009675.47676673 1621993.71806358),낭도 부근,장구도동측해상,4.7~23m,암,13물~5물/ 조금 전후,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 붕장어  -  원투▶ 농어  -  루어/ 릴찌▶ 숭어  -  릴찌/ 장대/ 훌치기,34-35-31.354N,127-36-19.835E,,전라남도 고흥군
226,POINT (1025406.55640621 1661123.36196522),광양만 부근,마도부근,0.4~2.0m,펄/모래,5물~10물,▶ 붕장어  -  원투▶ 망둥어  -  릴찌/ 장대▶ 숭어  -  릴찌/ 장대/ 훌치기▶ 감성돔  -  릴찌/ 장대/ 원투▶ 농어  -  루어/ 릴찌▶ 노래미  -  루어/ 릴찌/ 장대/ 원투▶ 볼락  -  릴찌/ 장대/ 루어▶ 도다리  -  원투,34-56-40.677N,127-46-41.647E,,전라남도 광양시
227,POINT (989572.6947090811 1589367.72050149),손죽열도 부근,잔거리동쪽해상,15.3~20.6m,암,중들물~만조/ 사리를 피한 물때,▶ 감성돔  -  릴찌/ 장대/ 원투▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 우럭  -  릴찌/ 원투▶ 노래미  -  루어/ 릴찌/ 장대/ 원투▶ 농어  -  루어/ 릴찌▶ 숭어  -  릴찌/ 장대/ 훌치기▶ 삼치  -  루어/ 릴찌▶ 문어  -  루어,34-17-52.102N,127-23-12.083E,,전라남도 여수시
228,POINT (989590.819257237 1562158.0823975),대삼부도,무구여인근해상,13.8~19.6m,암,10물~13물,▶ 벵에돔  -  목줄/ 장대/ 부력/ 잠수▶ 참돔  -  부력/ 잠수▶ 돌돔  -  릴찌/ 장대/ 원투▶ 감성돔  -  릴찌/ 장대/ 원투▶ 농어  -  루어/ 릴찌▶ 쏨벵이  -  루어/ 릴찌,34-03-08.684N,127-23-13.969E,,전라남도 여수시
229,POINT (1026971.00553716 1602297.86196557),연도,덕포앞해상,0.7~3.1m,암,초들물/ 초날물/ 조금 전·후,▶ 참돔  -  부력/ 잠수▶ 감성돔  -  릴찌/ 장대/ 원투▶ 볼락  -  릴찌/ 장대/ 루어▶ 농어/  삼치  -  루어/ 릴찌▶ 돌돔  -  민장대/ 릴찌/ 원투▶ 갑오징어  -  에깅,34-24-50.816N,127-47-36.565E,,전라남도 여수시
230,POINT (1073707.68036188 1640696.74999673),추도 부근,흰여부근,4.0~13.5m,암,6물~8물,▶ 볼락 - 릴찌/ 장대/ 루어▶ 우럭 - 릴찌/ 원투▶ 주꾸미 - 릴찌/ 원투▶ 광어 - 릴찌/ 원투▶ 감성돔 - 릴찌/ 장대/ 원투▶ 벵에돔 - 목줄/ 장대/ 부력/ 잠수▶ 참돔 - 부력/ 잠수,34-45-29.115N,128-18-19.326E,,경상남도 통영시
231,POINT (1003168.71769024 1614847.57233566),나로도,보돌서부근,11m~15m,펄,간조~초들물,▶감성돔 - 릴찌/ 장대/ 원투 ▶농어 - 루어/ 릴찌▶도다리 - 원투 ▶볼락 - 루어/ 릴찌/ 장대▶숭어 - 릴찌/ 장대/ 훌치기 ▶학공치 - 릴찌/ 장대,34-31-39.5N,127-32-04.3E,내나로도 등대 밑 갯바위/ 외나로도 부채바위/ 외나로도 노랑바위/ 포인트는 경사가 가파르고 낚시자리가 좁아 안전에 주의해야 하고 보팅 및 낚싯배로 진입이 가능하다.,전라남도 고흥군
